name,description,price,category,stock,vendor_username
"Fer à Repasser Vapeur","Fer à repasser vapeur 2200W - Semelle céramique antiadhésive - Réservoir 300ml - Anti-calcaire - Cordon 2m - Garantie constructeur",28000,Maison & Cuisine,35,admin
"Batterie Solaire 200Ah","Batterie gel solaire 12V 200Ah - Décharge profonde - Durée vie 10 ans - Parfaite systèmes solaires - Garantie 3 ans",195000,Énergie Solaire,8,admin
"Lampe Solaire LED Jardin","Lampe solaire LED extérieur - Pack 4 unités - Détecteur mouvement - Étanche IP65 - Autonomie 8h - Installation facile - Économique",18500,Énergie Solaire,45,admin
"Chargeur Solaire USB 21W","Chargeur solaire pliable 21W - 2 ports USB - Charge rapide - Léger portable - Parfait voyage camping - Conversion 23%",24000,Énergie Solaire,40,admin
"Sac École Enfant Solide","Sac à dos scolaire renforcé - Plusieurs compartiments - Bretelles rembourrées - Imperméable - Motifs colorés - Primaire et collège",15500,Bébé & Enfants,55,admin
"Chaussures Sport Enfant","Baskets sport enfant pointures 28-35 - Semelle antidérapante - Respirantes - Scratch facile - Parfaites école et jeux",22000,Bébé & Enfants,48,admin
"Biberons Anti-Coliques Set 3","Set 3 biberons anti-coliques 260ml - Sans BPA - Tétines silicone - Graduations précises - Facile nettoyer - 0-12 mois",16500,Bébé & Enfants,62,admin
"Matelas Mousse 140x190cm","Matelas mousse haute densité - 140x190x15cm - Housse amovible lavable - Confortable ferme - Hypoallergénique - Garantie 5 ans",85000,Maison & Cuisine,18,admin
"Rideau Occultant Thermique","Rideau occultant isolant thermique - 140x240cm - Œillets métalliques - Bloque lumière 99% - Couleurs disponibles: beige, gris, bleu",22000,Maison & Cuisine,40,admin
"Machine à Coudre Portable","Machine à coudre électrique portable - 12 points différents - LED - Pédale incluse - Parfaite débutants - Manuel français - Garantie 1 an",68000,Maison & Cuisine,15,admin
"Coffret Thé Tisanes Bio 24pc","Coffret découverte 24 sachets thés et tisanes bio - Menthe, bissap, citronnelle, gingembre - Produits locaux - Emballage cadeau",12500,Alimentation,70,admin
